AA, 58.2532137358
KK, 45.9594573028
QQ, 34.9711567061
JJ, 28.6884055743
AKs, 27.0822615713
AKo, 23.4043541081
AQs, 22.3723446811
TT, 20.2447748412
AQo, 17.3034886655
AJs, 14.0574299133
99, 14.0179911802
ATs, 12.2180296856
88, 10.8933307305
AJo, 10.1921477894
KQs, 8.38223544521
77, 7.09200778758
ATo, 6.53149409984
66, 4.72120168451
A9s, 4.71050958442
KJs, 4.48952804613
QJs, 4.32972806348
KTs, 3.76248796297
KQo, 3.16706137183
A8s, 2.77545845298
JTs, 2.5489661287
A5s, 2.11680100533
A6s, 1.77334428403
A7s, 1.60558034061
55, 1.48798682312
QTs, 1.16696485042
A3s, 1.11631695374
A4s, 0.322561273265
A2s, 0.189864617902
A9o, 0.0527038329214
J9s, -0.30262269002
KJo, -0.347159140872
T9s, -0.675969070532
44, -0.873340275404
98s, -1.0861925726
33, -1.16189909659
Q9s, -1.50241246208
QJo, -1.84657420509
K9s, -2.14344126252
65s, -2.23367927547
J8s, -2.30226605079
A8o, -2.36193514731
22, -2.44183966939
K8s, -2.54000605034
K7s, -2.7057823209
J7s, -2.7628400014
T8s, -2.80308194215
Q8s, -3.09420081084
87s, -3.17843667045
QTo, -3.33598398017
KTo, -3.35117116171
A7o, -3.41486646561
JTo, -3.4474317899
76s, -3.70658555191
K5s, -3.98843847654
K6s, -4.0175982865
K4s, -4.01896173682
A5o, -4.52468887727
54s, -4.68222377335
A6o, -4.71013628048
K2s, -5.03619009236
A4o, -5.09676581384
K3s, -5.19671916582
97s, -5.21753699244
Q5s, -5.52500342202
Q7s, -5.57820359493
Q6s, -5.68691431134
75s, -5.81483430896
96s, -5.90190664077
86s, -6.04700861841
85s, -6.1052287658
T9o, -6.38319508961
T6s, -6.49778893303
Q3s, -6.63518551583
K9o, -6.68212501992
A2o, -6.77410232491
A3o, -6.89870913106
64s, -6.96374187702
J9o, -6.99662556094
T7s, -7.06259186704
J6s, -7.18725030428
Q4s, -7.29944930003
Q2s, -7.44807521689
J3s, -7.56835320523
Q9o, -7.64308474677
53s, -7.64506006877
74s, -7.75211198226
J5s, -7.89928929118
43s, -7.92370676806
63s, -8.0527820455
84s, -8.16353770759
K8o, -8.17847583009
T8o, -8.25517442548
98o, -8.80209890938
95s, -8.8224484336
T4s, -8.96355230936
Q8o, -8.96887943503
87o, -9.0029068924
K7o, -9.07355996782
J8o, -9.24232011327
J2s, -9.24252096082
76o, -9.2764823033
97o, -9.28190322598
K6o, -9.28585431054
J4s, -9.37045590411
T5s, -9.50587283913
73s, -9.69300320158
83s, -9.9909550966
T2s, -10.2088453258
K5o, -10.4008748396
52s, -10.6349116805
T3s, -10.6379782623
42s, -10.7078931311
86o, -11.019388145
32s, -11.0412739953
62s, -11.0882449131
T7o, -11.0892935804
65o, -11.2448890935
K4o, -11.4191203919
Q7o, -11.4685066826
J7o, -11.4770910348
Q6o, -11.5725170806
54o, -11.8610304239
93s, -11.9726274296
94s, -11.9839056594
96o, -12.0642176796
75o, -12.0655596452
82s, -12.106154212
K3o, -12.1233323288
K2o, -12.3569957003
Q5o, -12.4545386276
72s, -12.6349477656
92s, -12.8233703084
64o, -13.2744382055
85o, -13.3464166652
53o, -13.5176435636
Q4o, -13.6943137434
T6o, -13.7772789985
Q3o, -13.8254605391
J6o, -14.2455107155
J5o, -14.2918473735
95o, -14.4260557405
J4o, -14.5965141945
63o, -14.7211206153
Q2o, -15.1079013931
43o, -15.1277600723
52o, -15.4314181033
J3o, -15.446424106
74o, -15.5008041335
T5o, -15.6617487919
84o, -15.8924366877
T3o, -15.9424060813
T4o, -15.9958428533
42o, -16.5623604601
94o, -16.6701597141
J2o, -16.8207683191
73o, -17.1909325233
T2o, -17.3030109714
32o, -17.4921144215
83o, -17.495867013
93o, -17.4982492033
62o, -17.849439445
82o, -18.2115777246
92o, -18.8874858115
72o, -19.6650566325
