players;round;90%;95%;99%
9;1;77.43%;71.69%;59.95%
9;2;87.99%;84.67%;77.43%
9;3;91.83%;89.50%;84.32%
9;4;93.80%;92.02%;87.99%
9;5;95.01%;93.56%;90.27%
9;6;95.83%;94.60%;91.83%
9;7;96.41%;95.36%;92.95%
9;8;96.85%;95.92%;93.80%
9;9;97.20%;96.37%;94.47%
6;1;68.13%;60.70%;46.42%
6;2;82.54%;77.91%;68.13%
6;3;87.99%;84.67%;77.43%
6;4;90.85%;88.27%;82.54%
6;5;92.61%;90.50%;85.77%
6;6;93.80%;92.02%;87.99%
6;7;94.67%;93.12%;89.62%
6;8;95.32%;93.95%;90.85%
6;9;95.83%;94.60%;91.83%
3;1;46.42%;36.84%;21.54%
3;2;68.13%;60.70%;46.42%
3;3;77.43%;71.69%;59.95%
3;4;82.54%;77.91%;68.13%
3;5;85.77%;81.90%;73.56%
3;6;87.99%;84.67%;77.43%
3;7;89.62%;86.71%;80.31%
3;8;90.85%;88.27%;82.54%
3;9;91.83%;89.50%;84.32%
